deal_id,announcement_date,completion_date,deal_type,status,consideration_type,deal_value_amount,deal_value_currency,acquirer_name,acquirer_country,target_name,target_country,source_1_title,source_1_url,source_1_date,source_language,source_2_title,source_2_url,notes_translation,qc_checked_by,qc_check_date,origin,source_title,source_url,source_date
ENG01,2025-08-25,,acquisition,announced,mixed,18000000000,USD,Keurig Dr Pepper,USA,JDE Peet's,Netherlands,Dr Pepper takes a shot at Nestle with $18 bln takeover of JDE Peet's,https://www.reuters.com/business/keurig-dr-pepper-brews-coffee-challenge-nestle-with-18-billion-jde-peets-2025-08-25/,2025-08-25,English,,,,,,English,,,
ENG02,2025-08-25,,acquisition,pending,stock,3100000000,USD,Crescent Energy,USA,Vital Energy,USA,Crescent Energy to acquire Vital Energy in $3.1 billion shale deal,https://www.reuters.com/legal/transactional/crescent-energy-acquire-vital-energy-31-billion-shale-deal-2025-08-25/,2025-08-25,English,,,,,,English,,,
ENG03,2025-08-21,,take-private,pending,cash,12300000000,USD,Thoma Bravo,USA,Dayforce,Canada,Dayforce to go private in $12.3 billion Thoma Bravo acquisition,https://www.reuters.com/legal/transactional/dayforce-go-private-123-billion-thoma-bravo-acquisition-2025-08-21/,2025-08-21,English,,,,,,English,,,
ENG04,2025-08-24,,acquisition,announced,cash,2000000000,USD,Thoma Bravo,USA,Verint Systems,USA,Thoma Bravo to buy Verint in $2 billion deal as software acquisitions ramp up,https://www.reuters.com/en/thoma-bravo-buy-verint-2-billion-deal-software-acquisitions-ramp-up-2025-08-25/,2025-08-25,English,,,,,,English,,,
ENG05,2025-08-20,,acquisition,pending,cash,8800000000,USD,Lowe's,USA,Foundation Building Materials,USA,Lowe's to buy Foundation Building Materials for $8.8 billion to boost contractor business,https://www.reuters.com/legal/transactional/lowes-buy-foundation-building-materials-88-billion-2025-08-20/,2025-08-20,English,,,,,,English,,,
ENG06,,,acquisition,completed,cash,10000000000,USD,Sycamore Partners,USA,Walgreens Boots Alliance,USA,Walgreens names retail veteran Mike Motz as CEO after Sycamore takes chain private,https://www.reuters.com/sustainability/boards-policy-regulation/walgreens-names-retail-veteran-mike-motz-ceo-after-sycamore-takes-chain-private-2025-08-28/,2025-08-28,English,,,,,,English,,,
ENG07,2025-08-27,,acquisition,pending,cash,740000000,USD,Yageo,Taiwan,Shibaura Electronics,Japan,Taiwan's Yageo expects Japan's national security clearance for $740 million Shibaura buyout,https://www.reuters.com/markets/emerging/taiwans-yageo-expects-japans-national-security-clearance-740-million-shibaura-2025-08-27/,2025-08-27,English,,,,,,English,,,
PT01,2025-08-27,,acquisition,pending,cash,27000000,USD,VL Mineração (Batista family company),Brazil,Mosaic potash mine in Sergipe,Brazil,Empresa da família Batista compra mina de potássio da Mosaic por US$27 milhões,https://www.estadao.com.br/economia/familia-batista-producao-fertilizantes-aquisicao-potassio-mosaic/,2025-08-27,Portuguese,,,Batista family company acquires Mosaic’s potash mine in Sergipe for $27 million,,,Portuguese,,,
PT02,2025-08-27,,acquisition,announced,unknown,,,Power2Go Carregadores e Tomadas,Brazil,E-Drive,Brazil,Power2Go Carregadores e Tomadas anuncia aquisição da E-Drive,https://fusoesaquisicoes.com/acontece-no-setor/power2go-adquire-e-drive/,2025-08-27,Portuguese,,,Power2Go chargers announces acquisition of E-Drive,,,Portuguese,,,
PT03,2025-08-27,,acquisition,announced,unknown,,,Vela LatAm,Brazil,Projetus TI,Brazil,Vela LatAm adquire Projetus TI,https://fusoesaquisicoes.com/acontece-no-setor/braco-da-canadense-constellation-chega-a-20-aquisicoes-na-america-latina-17-no-brasil/,2025-08-27,Portuguese,,,Vela LatAm acquires Projetus TI,,,Portuguese,,,
PT04,2025-07-22,,acquisition,pending,mixed,3050000000,BRL,Totvs,Brazil,StoneCo's Linx unit,Brazil,"Totvs compra unidade Linx da StoneCo por R$3,05 bilhões",https://www.msn.com/pt-br/dinheiro/economia-e-negocios/totvs-compra-linx-da-stone-por-r-3-bi/ar-AA1J5SqN,2025-07-22,Portuguese,,,Totvs to buy StoneCo’s Linx unit for 3.05 billion reais,,,Portuguese,,,
PT05,2025-07-29,,stake purchase,announced,unknown,,,iFood (Prosus-owned),Brazil,CRMBonus,Brazil,iFood adquire 20% da CRMBonus,https://institucional.ifood.com.br/releases/ifood-compra-participacao-crmbonus/,2025-07-29,Portuguese,,,iFood acquires 20% stake in CRMBonus,,,Portuguese,,,
PT06,2025-07-30,,merger,pending,stock,,,Marfrig,Brazil,BRF,Brazil,Acionistas da BRF aprovam fusão com Marfrig,https://www.theagribiz.com/agribuzz/acionistas-da-brf-aprovaram-fusao-com-marfrig-78-de-votos-favoraveis/,2025-07-30,Portuguese,,,BRF shareholders approve merger with Marfrig,,,Portuguese,,,
ES01,2025-07-16,,acquisition,announced,undisclosed,1700000000,USD,Prosus,Netherlands,Despegar.com,Argentina,US acquisition of Despegar.com by Prosus for $1.7 billion,https://www.reuters.com/markets/deals/prosus-buy-latin-american-online-travel-agency-despegarcom-17-bln-2024-12-23/,2025-07-16,Spanish,,,US acquisition of Despegar.com by Prosus for $1.7 billion.,Analyst,2025-08-28,UserProvided,,,
ES02,2025-07-16,,general trend,,,,UNDISCLOSED,Various,Argentina,Various,Argentina,El volumen de fusiones y adquisiciones en Argentina creció un 62% en el primer semestre,https://www.expansion.com/latinoamerica/2025/07/16/687751dce5fdeaf0198b45aa.html,2025-07-16,Spanish,,,The volume of mergers and acquisitions in Argentina grew 62% in the first semester.,Analyst,2025-08-28,UserProvided,,,
